id,type2,fname,bname,cname,sname,rname,fplv,bplv,fcname,bcname,fspt,bspt,fename,bename,rdate,fskl,bskl
BT5-054,LEADER,Super 17,"Super 17, Evil Entwined",Green,Series 5 ï½MIRACULOUS REVIVALï½,Rare[R],10000,15000,Super 17,Super 17,Android/Machine Mutant,Android/Machine Mutant,Super 17 Saga,Super 17 Saga,"November 9, 2018","**[Auto]** **[Burst 2]**  (You must place the top 2 cards of your deck in your Drop Area to activate this skill.) When this card attacks, draw 1 card.
**[Awaken]**  When your life is at 4 or less : You may choose up to 2 of your energy, switch them to Active Mode, and flip this card over.","**[Auto]** **[Sparking 5]**  (This skill takes effect when you have 5 or more cards in your Drop Area.) When this card attacks, draw 1 card, and this card gains **[Critical]**  for the duration of the turn.
**[Activate Main]**  If your opponent has 10 or more cards in hand, your opponent places cards from their hand in their Drop Area until they have 9 cards in hand."
BT5-079,LEADER,Master Roshi,Max Power Master Roshi,Yellow,Series 5 ï½MIRACULOUS REVIVALï½,Uncommon[UC],10000,15000,Master Roshi,Master Roshi,Earthling,Earthling,Resurrection 'F' Saga,Resurrection 'F' Saga,"November 9, 2018","**[Auto]** **[Burst 2]**  (You must place the top 2 cards of your deck in your Drop Area to activate this skill.) When this card attacks, draw 1 card.
**[Awaken]**  When your life is at 4 or less : You may choose up to 2 of your energy, switch them to Active Mode, and flip this card over.","**[Auto]** **[Sparking 5]**  (This skill takes effect when you have 5 or more cards in your Drop Area.) When this card attacks, draw 1 card, and this card gets +5000 power for the duration of the turn, then choose up to  1 of your opponent's Battle Cards and switch it to Rest Mode."
BT5-080,LEADER,Sorbet,"Frieza, Resurrected Emperor",Yellow,Series 5 ï½MIRACULOUS REVIVALï½,Rare[R],10000,15000,Sorbet,Frieza,Frieza's Army/Shenron,Frieza Clan/Frieza's Army/Shenron,Resurrection 'F' Saga,Resurrection 'F' Saga,"November 9, 2018","**[Auto]** **[Once per turn]**  When one of your Battle Cards attacks, it gets +5000 power for the duration of the turn, then choose up to 1 **[Dragon Ball]**  card from your deck or life and add it to your hand. Then shuffle any areas you looked through.
**[Wish]**  When there are 7 **[Dragon Ball]**  cards in your Drop Area : Choose up to 1 Desire card in your Drop Area, add it to your hand, and flip this card over.","**[Activate Main]** **[Once per turn]**  Choose one-
Draw 1 card.
Choose 1 yellow or black Desire card from your hand with an energy cost less than or equal to your current energy and activate its **[Activate Main]**  skill.
Remove 7 **[Dragon Ball]**  cards in your Drop Area from the game. If you do,  choose a total of up to 2 of your opponent's Battle Cards and energy and switch them to Rest Mode, and this card gets +15000 power for the duration of the turn. Then flip this card over at the end of the turn."
BT5-105,LEADER,Black Masked Saiyan,Powerthirst Black Masked Saiyan,Black,Series 5 ï½MIRACULOUS REVIVALï½,Uncommon[UC],10000,15000,Black Masked Saiyan ,Black Masked Saiyan ,Saiyan,Saiyan,Dark Demon Realm Saga,Dark Demon Realm Saga,"November 9, 2018","**[Auto]** **[Burst 3]**  (You must place the top 3 cards of your deck in your Drop Area to activate this skill.) When this card attacks, draw 1 card.
**[Awaken]**  When your life is at 4 or less : You may choose up to 2 of your energy, switch them to Active Mode, and flip this card over.","**[Activate Main]** **[Once per turn]** **[Burst 3]**  (You must place the top 3 cards of your deck in your Drop Area to activate this skill.) Choose up to 1 black Battle Card with an energy cost of 3 or more  in your Drop Area and add it to your hand, and this card gets +5000 power for the duration of the turn."
BT4-001,LEADER,Son Goku,Energy Burst Son Goku,Red,Series 4 ï½COLOSSAL WARFAREï½,Uncommon[UC],10000,15000,Son Goku: GT,Son Goku: GT,Saiyan,Saiyan,Baby Saga,Baby Saga,"July 13,2018","**[Auto]**  When this card attacks a Leader Card, draw 1 card.
**[Awaken]**  When your life is at 4 or less : You may choose up to 2 of your energy, switch them to Active Mode, and flip this card over.","**[Auto]**  When this card attacks, draw 1 card, and if you have 4 or less cards in your hand, draw 1 card and this card gains +5000 power for the duration of the turn."
BT4-002,LEADER,Baby,Rampaging Great Ape Baby,Red,Series 4 ï½COLOSSAL WARFAREï½,Rare[R],10000,15000,Baby,Baby,Machine Mutant,Machine Mutant/Great Ape/Saiyan,Baby Saga,Baby Saga,"July 13,2018","**[Auto]**  When this card attacks a Leader Card, draw 1 card.
**[Awaken]**  When your life is at 4 or less : You may choose up to 2 of your energy, switch them to Active Mode, and flip this card over.","**[Auto]**  When this card attacks, draw 1 card, then choose 1 of your Battle Cards and 1 of your opponent's Battle Cards, and they both lose -10000 power for the duration of the turn."
BT4-023,LEADER,Trunks,Iron Vow Trunks,Blue,Series 4 ï½COLOSSAL WARFAREï½,Uncommon[UC],10000,15000,Trunks: Youth,Trunks: Youth,Saiyan/Earthling,Saiyan/Earthling,Hirudegarn Saga,Hirudegarn Saga,"July 13,2018","**[Auto]**  When this card attacks a Leader Card, draw 1 card.
**[Awaken]**  When your life is at 4 or less : You may choose up to 2 of your energy, switch them to Active Mode, and flip this card over.","**[Auto]**  When this card attacks, draw 1 card.
**[Auto]**  At the end of your turn, if all of your energy is blue, choose up to 1 of your blue Battle Cards with an energy cost of 3 or more and up to 1 of your energy, then switch them to Active Mode."
BT4-024,LEADER,Hirudegarn,Awakened Perfection Hirudegarn,Blue,Series 4 ï½COLOSSAL WARFAREï½,Rare[R],10000,15000,Hirudegarn,Hirudegarn,Phantom Demon,Phantom Demon,Hirudegarn Saga,Hirudegarn Saga,"July 13,2018","**[Auto]**  When this card attacks a Leader Card, you may choose 1 Battle Card from your hand and place it in your Drop Area. If you do so, draw 2 cards.
**[Awaken]**  When your life is at 4 or less : You may choose up to 2 of your energy, switch them to Active Mode, and flip this card over.","**[Auto]**  When this card attacks, draw 1 card, then, if you have 4 or more energy, your opponent chooses 1 card from their hand and places it on top of their deck."
BT4-046,LEADER,Piccolo,"Piccolo, Kami's Successor",Green,Series 4 ï½COLOSSAL WARFAREï½,Uncommon[UC],10000,15000,Piccolo,Piccolo,Namekian/God/Universe7,Namekian/God/Universe7,Universe Survival Saga,Universe Survival Saga,"July 13,2018","**[Auto]**  When this card attacks a Leader Card, draw 1 card.
**[Awaken]**  When your life is at 4 or less : You may choose up to 2 of your energy, switch them to Active Mode, and flip this card over.","**[Permanent]**  **[Bond 2]** Namekian (This skill takes effect when you have 2 or more of the specified Battle Cards in play ) : This card gains **[Critical]** .
**[Auto]**  When this card attacks, draw 1 card, then choose up to 1 Namekian in your Battle Area and it gains +5000 power for the duration of the turn."
BT4-047,LEADER,Lord Slug,"Lord Slug, Gigantified",Green,Series 4 ï½COLOSSAL WARFAREï½,Rare[R],10000,15000,Lord Slug,Lord Slug,Namekian/Slug's Army,Namekian/Slug's Army,Lord Slug Saga,Lord Slug Saga,"July 13,2018","**[Activate Main]**  **[Once per turn]**  Choose 1 card in your life and add it to your hand : This card gains **[Critical]**  for the duration of the turn.
**[Awaken]**  When your life is at 4 or less : You may draw 2 cards and flip this card over.","**[Auto]**  When this card attacks, draw 1 card.
**[Activate Main]**  **[Once per turn]**  Place 1 card from your hand in your Drop Area : Your opponent chooses 1 card from their hand and places it in their Drop Area."
BT4-071,LEADER,Bardock,Uncontrollable Bardock,Yellow,Series 4 ï½COLOSSAL WARFAREï½,Uncommon[UC],10000,15000,Bardock,Bardock,Saiyan/Goku's Lineage,Saiyan/Great Ape/Goku's Lineage,Bardock Saga,Bardock Saga,"July 13,2018","**[Activate Main]**  **[Once per turn]**  Choose 1 card from your life and add it to your hand : Choose up to 1 of your opponent's Rest Mode Battle Cards with an energy cost of 3 or less and KO it.
**[Awaken]**  When your life is at 4 or less : You may draw 2 cards and flip this card over.","**[Auto]**  When this card attacks, draw 1 card.
**[Activate Main]**  **[Once per turn]**  Choose 1 card from your life and add it to your hand : Choose up to 1 of your opponent's Rest Mode Battle Cards and KO it."
BT4-072,LEADER,Son Goku,Legacy Bearer Son Goku,Yellow,Series 4 ï½COLOSSAL WARFAREï½,Rare[R],10000,15000,Son Goku: Childhood,Son Goku,Saiyan/Goku's Lineage,Saiyan/Goku's Lineage,King Piccolo Saga,Majin Buu Saga,"July 13,2018","**[Auto]**  When this card attacks a Leader Card, you may choose 1 Goku's Lineage from your hand and place it in your Drop Area. If you do so, draw 2 cards.
**[Awaken]**  When your life is at 4 or less : You may choose up to 2 of your energy, switch them to Active Mode, and flip this card over.","**[Auto]**  When this card attacks, draw 1 card, then choose up to 1 Goku's Lineage in your Battle Area. This card and the chosen card gain +5000 power for the duration of the turn."
BT4-098,LEADER,Demigra,Ghastly Malice Demigra,Black,Series 4 ï½COLOSSAL WARFAREï½,Rare[R],10000,15000,Demigra,Demigra,Demon God,Demon God,Dark Demon Realm Saga,Dark Demon Realm Saga,"July 13,2018","**[Auto]**  When this card attacks a Leader Card, place 3 cards from the top of your deck in your Drop Area. If all of the cards placed in your Drop Area are black, draw 1 card.
**[Awaken]**  When your life is at 4 or less : You may choose up to 2 of your energy, switch them to Active Mode, and flip this card over.","**[Wormhole]**  (You can activate **[Over Realm]**  and **[Dark Over Realm]**  up to a total 2 times a turn)
**[Auto]**  When this card attacks, draw 1 card.
**[Activate Main]**  **[Once per turn]**  Choose up to 3 black cards in your Warp and place them in your Drop Area."
BT4-099,LEADER,Mira,"Mira, One with Darkness",Black,Series 4 ï½COLOSSAL WARFAREï½,Uncommon[UC],10000,15000,Mira,Mira,Android,Android,Dark Demon Realm Saga,Dark Demon Realm Saga,"July 13,2018","**[Activate Main]**  **[Once per turn]**  Choose 1 card in your life and add it to your hand : This card gains +5000 power for the duration of the turn, then place 3 cards from the top of your deck in the Drop Area.
**[Awaken]**  When your life is at 4 or less : You may choose up to 2 of your energy, switch them to Active Mode, and flip this card over.","**[Auto]**  When this card attacks, draw 1 card.
**[Activate Main]**  **[Once per turn]**  Choose 3 cards in your Warp and place them in your Drop Area : This card gains +5000 power for the duration of the turn."
BT3-001,LEADER,Pan,"Pan, Ready to Fight",Red,Series 3 Boosterï½CROSS WORLDSï½ ,Rare[R],10000,15000,Pan,Pan,Saiyan/Earthling,Saiyan/Earthling,Black Star Dragon Ball Saga,Black Star Dragon Ball Saga,"March 9, 2018","**[Auto]**  **[Once per turn]**  When you play a Battle Card, choose that card, and it gains +5000 power for the duration of the turn. Then, if its power is 20000 or more, draw 1 card.
**[Awaken]**  When your life is at 4 or less : You may choose up to 2 of your energy, switch them to Active Mode, and flip this card over.","**[Auto]**  **[Once per turn]**  When you play a Battle Card, choose that card, and it gains +5000 power for the duration of the turn. Then, if its power is 20000 or more, draw 1 card.
**[Auto]**  When this card attacks, draw 1 card."
BT3-002,LEADER,Dr. Myuu,Scheming Dr. Myuu,Red,Series 3 Boosterï½CROSS WORLDSï½ ,Uncommon[UC],10000,15000,Dr. Myuu,Dr. Myuu,Machine Mutant,Machine Mutant,Black Star Dragon Ball Saga,Black Star Dragon Ball Saga,"March 9, 2018","**[Activate Main]**  **[Once per turn]**  Choose 1 Machine Mutant Battle Card from your hand with 5000 or less power and play it.
**[Awaken]**  When your life is at 4 or less : You may draw 2 cards and flip this card over.","**[Activate Main]**  **[Once per turn]**  Choose 1 Machine Mutant Battle Card from your hand with 10000 or less power and play it.
**[Auto]**  When this card attacks, draw 1 card."
BT3-031,LEADER,Majin Buu,"Majin Buu, Completely Revived",Blue,Series 3 Boosterï½CROSS WORLDSï½ ,Rare[R],10000,15000,Majin Buu,Majin Buu,Majin,Majin,Majin Buu Saga,Majin Buu Saga,"March 9, 2018","**[Auto]**  When this card attacks a Leader Card, place the top card of your deck under this card. Then, if there are 2 or more cards under this card, draw 1 card.
**[Awaken]**  When your life is at 4 or less : You may choose up to 2 of your energy, switch them to Active Mode, and flip this card over.","**[Auto]**  **[Once per turn]**  When this card attacks, place the top card of your deck under this card. Then, draw 1 card.
**[Activate Main]**  Choose 5 cards under this card and place them in the Drop Area : Switch this card to Active Mode. It gains +5000 power for the duration of the turn."
BT3-032,LEADER,Son Goku,Heightened Evolution Super Saiyan 3 Son Goku,Blue,Series 3 Boosterï½CROSS WORLDSï½ ,Uncommon[UC],10000,15000,Son Goku,Son Goku,Saiyan,Saiyan,Majin Buu Saga,Majin Buu Saga,"March 9, 2018","**[Permanent]**  You can only place up to 6 energy.
**[Activate Main]**  Place 1 card from your hand in the Drop Area : If you have no energy, choose 2 cards in your life and add them to your energy.
**[Awaken]**  When your life is at 4 or less : You may draw 2 cards and flip this card over.","**[Permanent]**  You can only place up to 6 energy.
**[Auto]**  At the end of your turn, choose up to 3 of your energy and switch them to Active Mode.
**[Auto]**  When this card attacks, draw 1 card."
BT3-055,LEADER,Vegito,"Going All In, SSB Vegito",Green,Series 3 Boosterï½CROSS WORLDSï½ ,Rare[R],10000,15000,Vegito,Vegito,Saiyan,Saiyan,Future Trunks Saga,Future Trunks Saga,"March 9, 2018","**[Auto]**  When this card attacks a Leader Card, draw 1 card.
**[Awaken]**  When your life is at 4 or less : You may choose up to 2 of your energy, switch them to Active Mode, and flip this card over.","**[Permanent]**  During your turn, if your opponent has no Battle Cards in their Battle Area, this card gains +5000 power and **[Double Strike]** .
**[Auto]**  When this card attacks, draw 1 card. Then, if your opponent has 2 or less Battle Cards, this card gains +5000 power for the duration of the turn."
BT3-056,LEADER,Android 13,"Thirst for Destruction, Android 13",Green,Series 3 Boosterï½CROSS WORLDSï½ ,Uncommon[UC],10000,15000,Android 13,Android 13,Android,Android,Android 13 Saga,Android 13 Saga,"March 9, 2018","**[Permanent]**  If Android 14 and Android 15 are in your Drop Area, you can activate this card's **[Awaken]**  when your life is at 6 or less.
**[Awaken]**  When your life is at 4 or less : You may draw 2 cards and flip this card over.","**[Auto]**  When your opponent's Son Goku or Battle Card with an energy cost of 6 or less is placed in the Drop Area from any area by one of your skills, this card gains **[Critical]**  (When this card inflicts damage to your opponent's life, they place that many cards in their Drop Area instead of their hand) for the duration of the turn.
**[Auto]**  When this card attacks, draw 1 card."
BT3-082,LEADER,Bardock,Unwavering Justice Bardock,Yellow,Series 3 Boosterï½CROSS WORLDSï½ ,Rare[R],10000,15000,Bardock,Bardock,Saiyan,Saiyan,Bardock Saga,Bardock Saga,"March 9, 2018","**[Auto]**  When this card attacks a Leader Card, draw 1 card.
**[Awaken]**  When your life is at 4 or less : You may choose up to 2 of your energy, switch them to Active Mode, and flip this card over.","**[Auto]**  When this card attacks, draw 1 card.
**[Auto]**  **[Once per turn]**  When your Saiyan is KO-ed, this card gains +5000 power for the duration of the turn."
BT3-083,LEADER,Son Goku,Uncontrollable Great Ape Son Goku,Yellow,Series 3 Boosterï½CROSS WORLDSï½ ,Uncommon[UC],10000,15000,Son Goku: Childhood,Son Goku : Childhood,Saiyan,Saiyan/Great Ape,Young Son Goku Saga,Young Son Goku Saga,"March 9, 2018","**[Activate Main]**  **[Once per turn]**  Look at up to 10 cards from the top of your deck, choose up to 1  Bulma among them and add it to your hand. Then, shuffle your deck.
**[Awaken]**  When your life is at 4 or less : You may choose up to 2 of your energy, switch them to Active Mode, and flip this card over.","**[Activate Main]**  **[Once per turn]**  Choose 1 of your Battle Cards and switch it to Rest Mode : Choose up to 1 of your opponent's Battle Cards and switch it to Rest Mode. Then, choose up to 1 of your opponent's Battle Card's in Rest Mode.
That card cannot switch to Active Mode during your opponent's next Charge Phase.
**[Auto]**  When this card attacks, draw 1 card."
BT3-107,LEADER,Mira,Dark Warrior Mira,Black,Series 3 Boosterï½CROSS WORLDSï½ ,Rare[R],10000,15000,Mira,Mira,Android,Android,Dark Demon Realm Saga,Dark Demon Realm Saga,"March 9, 2018","**[Auto]**  When this card attacks, place the top 2 cards of your deck in the Drop Area. Then, if there is a green or yellow card in your Battle Area or Drop Area, draw 1 card.
**[Awaken]**  When your life is at 4 or less : You may choose up to 1 card in your Warp and add it to your hand, then flip this card over.","**[Permanent]**  If your Warp has 5 cards or more in it, this card gains **[Critical]** .
**[Activate Main]**  **[Once per turn]**  Place up to 2 cards from the top of your deck in the Drop Area.
**[Auto]**  When this card attacks, draw 1 card."
BT3-108,LEADER,Trunks,"Super Saiyan Trunks, Protector of Time ",Black,Series 3 Boosterï½CROSS WORLDSï½ ,Uncommon[UC],10000,15000,Trunks: Xeno,Trunks : Xeno,Saiyan/Earthling,Saiyan/Earthling,Dark Demon Realm Saga,Dark Demon Realm Saga,"March 9, 2018","**[Auto]**  When this card attacks, place the top 2 cards of your deck in the Drop Area. Then, if there's a red or blue card in your Battle Area or Drop Area, draw 1 card.
**[Awaken]**  When your life is at 4 or less : You may choose up to 1 card in your Warp and add it to your hand, then flip this card over.","**[Activate Main]**  **[Once per turn]**  Place up to 2 cards from the top of your deck in the Drop Area.
**[Auto]**  When this card attacks, draw 1 card. Then, you may choose 5 cards in your Drop Area and send them to your Warp. If you do so, this card gains +5000 power and **[Double Strike]**  (This card inflicts 2 damage instead of 1 when attacking) for the duration of the turn."
BT2-001,LEADER,Vegito,Fusion Warrior Super Saiyan Vegito,Red,Series 2 Boosterï½UNION FORCEï½ ,Rare[R],10000,15000,Vegito,Vegito,Saiyan,Saiyan,Majin Buu Saga,Majin Buu Saga,"November 3, 2017","**[Permanent]**  Each Son Goku and Vegeta in all of your areas gain red, blue, and green colors.
**[Auto]**  When this card attacks, place up to 1 card from the top of your deck in the Drop Area. If that card is red, this card gains +5000 power for the duration of the turn.
**[Awaken]**  When your life is at 4 or less : You may draw 2 cards and flip this card over.","**[Permanent]**  Each Son Goku and Vegeta in all of your areas gain red, blue, and green colors.
**[Auto]**  When this card attacks, draw 1 card, and if there are 10 or more total <son goku=""""> or <vegeta> in your Drop Area, this card gains +5000 power and **[Double Strike]**  for the duration of the turn.</vegeta></son>"
BT2-002,LEADER,Son Goku,Soul Unleashed Son Goku,Red,Series 2 Boosterï½UNION FORCEï½ ,Uncommon[UC],10000,15000,Son Goku,Son Goku,Saiyan,Saiyan,The Evil Wizard Babidi Saga,The Evil Wizard Babidi Saga,"November 3, 2017","**[Activate Battle]**  **[Once per turn]**  Place 1 card from your hand in the Drop Area: This card gains +5000 power for the duration of the battle.
**[Awaken]**  When your life is at 4 or less : You may draw 2 cards and flip this card over.","**[Activate Battle]**  **[Once per turn]**  Place 1 card from your hand in the Drop Area : This card gains +5000 power for the duration of the turn.
**[Auto]**  When this card attacks, draw 1 card."
BT2-003,LEADER,Babidi,"Babidi, Creator of Evil",Red,Series 2 Boosterï½UNION FORCEï½ ,Uncommon[UC],10000,10000,Evil Wizard Babidi,Evil Wizard Babidi,Evil Wizard,Evil Wizard,The Evil Wizard Babidi Saga,The Evil Wizard Babidi Saga,"November 3, 2017","**[Auto]**  When you place this card in the Leader Area, choose 1 {Majin Buu's Sealed Ball} from your deck and place it in the Battle Area in Active Mode. 
**[Awaken]**  When your life is at 6 or less : You may draw 2 cards and flip this card over.","**[Activate Main]**  **[Once per turn]**  Choose 1 of your Battle Cards. It gains +5000 power for the duration of the turn.
**[Auto]**  **[Once per turn]**  When your Battle Cards attack, draw 1 card, and place up to 1 card from the top of your deck under your {Majin Buu's Sealed Ball}."
BT2-034,LEADER,Fused Zamasu,Absolute God Fused Zamasu,Blue,Series 2 Boosterï½UNION FORCEï½ ,Rare[R],10000,15000,Zamasu,Zamasu,God,God,Future Trunks Saga,Future Trunks Saga,"November 3, 2017","**[Activate Main]**  **[Once per turn]**  Choose 1 card in your life and place it in the Drop Area : If the card you placed in the Drop Area with this skill was blue, draw 1 card.
**[Awaken]**  When your life is at 2 or less : You may draw 2 cards and flip this card over.","**[Permanent]**  If damage is inflicted to your life, place 5 cards from the top of your deck in the Drop Area instead. (10 cards if you receive 2 damage)
**[Auto]**  When this card attacks, draw 1 card."
BT2-035,LEADER,Trunks,"Trunks, Hope for the Future",Blue,Series 2 Boosterï½UNION FORCEï½ ,Uncommon[UC],10000,15000,Trunks: Future,Trunks: Future,Saiyan/Earthling,Saiyan/Earthling,Future Trunks Saga,Future Trunks Saga,"November 3, 2017","**[Auto]**  **[Once per turn]**  During your turn, when you combo with a card that has an energy cost of 2 or more, draw 1 card.
**[Awaken]**  When your life is at 4 or less : You may draw 2 cards and flip this card over.","**[Auto]**  **[Once per turn]**  During your turn, when you combo with a card that has an energy cost of 2 or more, draw 1 card.
**[Auto]**  When this card attacks, draw 1 card."
BT2-036,LEADER,Goku Black,"Goku Black, The Bringer of Despair",Blue,Series 2 Boosterï½UNION FORCEï½ ,Uncommon[UC],10000,15000,Goku Black,Goku Black,Saiyan/God,Saiyan/God,Future Trunks Saga,Future Trunks Saga,"November 3, 2017","**[Activate Main]**  **[Once per turn]**  If you have 2 or more blue energy, choose 1 card in your life and place it in your Energy Area. At the end of that turn, choose 1of your energy and place it in your Drop Area.
**[Awaken]**  When your life is at 4 or less : You may draw 2 cards and flip this card over.","**[Permanent]**  During your turn, if you have 2 or less life, this card gains +5000 power and **[Double Strike]**  (This card inflicts 2 damage instead of 1 when attacking).
**[Auto]**  When this card attacks, draw 1 card."
BT2-068,LEADER,Cell,Ultimate Lifeform Cell,Green,Series 2 Boosterï½UNION FORCEï½ ,Rare[R],10000,15000,Cell,Cell, Android, Android,Android Cell Saga,Android Cell Saga,"November 3, 2017","**[Activate Main]**  **[Once per turn]**  Place 1 card from your hand under this card : Choose up to 1 of your opponent's Battle Cards with an energy cost of 3 or less and KO that card.
**[Awaken]**  When your life is at 4 or less : You may draw 2 cards and flip this card over.","**[Activate Main]**  **[Once per turn]**  Place 1 card from your hand under this card: Draw 2 cards.
**[Activate Main]**  **[Once per turn]**  Place 2 cards from under this card in the Drop Area : Choose up to 1 opponent Battle Card and KO that card."
BT2-069,LEADER,Son Gohan,Father-Son KamehamehaãGoku&Gohan,Green,Series 2 Boosterï½UNION FORCEï½ ,Uncommon[UC],10000,15000,Son Gohan: Childhood,Son Goku/Son Gohan: Childhood,Saiyan/Earthling,Saiyan/Earthling,Android Cell Saga,Android Cell Saga,"November 3, 2017","**[Auto]**  When this card attacks, if Son Goku is in your Drop Area, this card gains +5000 power for the duration of the turn.
**[Awaken]**  When your life is at 4 or less : You may draw 2 cards and flip this card over.","**[Auto]**  When this card attacks, draw 1 card.
**[Activate Battle]**  **[Once per turn]**  Remove all of your cards in the Drop Area from the game : This card gains +5000 power and **[Triple Strike]**  (This card inflicts 3 damage instead of 1 when attacking).
Then, at the end of the turn, you lose the game. "
BT2-070,LEADER,Android 17,Diabolical Duo Androids 17 & 18,Green,Series 2 Boosterï½UNION FORCEï½ ,Uncommon[UC],10000,10000,Android 17,Android 17/Android 18, Android, Android,Android Cell Saga,Android Cell Saga,"November 3, 2017","**[Permanent]**  Reduce the energy costs of Android 17 and Android 18 in your hand by 1.
**[Awaken]**  When your life is at 6 or less : You may draw 2 cards and flip this card over.","**[Permanent]**  Reduce the energy costs of Android 17 and Android 18 in your hand by 1.
**[Permanent]**  If your life is 4 or less, all of your Android 17 and Android 18 gain +5000 power.
**[Auto]**  When this card attacks, draw 1 card."
BT2-100,LEADER,Meta-Cooler,Nucleus of Evil Meta-Cooler Core,Yellow,Series 2 Boosterï½UNION FORCEï½ ,Rare[R],10000,15000,Meta-Cooler,Meta-Cooler Core,Frieza Clan,Frieza Clan,Meta-Cooler Saga,Meta-Cooler Saga,"November 3, 2017","**[Auto]**  When you place this card in the Leader Area, choose 1 {Big Gete Star} from your deck and place it in the Battle Area in Active Mode. 
**[Awaken]**  When your life is at 4 or less : You may draw 2 cards and flip this card over.","**[Activate Main]**  **[Once per turn]**  If 3 or more of your Meta-Cooler are in play, choose 1 of your opponent's Battle Cards and switch it to Rest Mode.
**[Auto]**  When this card attacks, place up to 3 cards from the top of your deck in the Drop Area. Choose up to 1 Meta-Cooler or Meta-Cooler Core from your Drop Area and add it to your hand. "
BT2-101,LEADER,Cooler,"Cooler, Leader of Troops",Yellow,Series 2 Boosterï½UNION FORCEï½ ,Uncommon[UC],10000,15000,Cooler,Cooler,Frieza Clan,Frieza Clan,Cooler Saga,Cooler Saga,"November 3, 2017","**[Activate Main]**  **[Once per turn]**  Place up to 3 cards from the top of your deck in the Drop Area. If there was 1 or more Frieza Clan among them, this card gains +5000 power for the duration of the turn.
**[Awaken]**  When your life is at 4 or less : You may draw 2 cards and flip this card over.","**[Activate Main]**  **[Once per turn]**  Place up to 3 cards from the top of your deck in the Drop Area. If there was 1 or more Frieza Clan among them, this card gains +5000 power for the duration of the turn.
**[Auto]**  When this card attacks, draw 1 card."
BT2-102,LEADER,Chilled,"Chilled, Harbinger of Destruction",Yellow,Series 2 Boosterï½UNION FORCEï½ ,Uncommon[UC],10000,10000,Chilled,Chilled,Frieza Clan,Frieza Clan,Chilled Saga,Chilled Saga,"November 3, 2017","**[Auto]**  When this card attacks, play 1 Chilled's Army token. (Chilled's Army token has 10000 power) 
**[Awaken]**  When your life is at 6 or less : You may draw 2 cards and flip this card over.","**[Permanent]**  During your turn, this card gains +5000 power.
**[Auto]**  When this card attacks, draw 1 card and play 1 Chilled's Army token. (Chilled's Army token has 10000 power)"
BT1-001,LEADER,Champa,God of Destruction Champa,Red,Series 1 Boosterï½GALACTIC BATTLEï½ ,Rare[R],10000,15000,Champa,Champa,God,God,Champa Saga,Champa Saga,"From July 28, 2017","**[Auto]**  **[Once per turn]**  When your Battle Card attacks a Leader Card, if the attacking card has 15000 or more power, draw 1 card.
**[Awaken]**  When your life is at 4 or less : You may draw 2 cards and flip this card over.","**[Auto]**  When this card attacks, draw 1 card.
**[Activate Main]**  Place 1 card from your hand in the Drop Area : Choose this card or 1 of your Battle Cards. It gains **[Double Strike]**  for the duration of the turn."
BT1-002,LEADER,Vados,Aide Vados,Red,Series 1 Boosterï½GALACTIC BATTLEï½ ,Uncommon[UC],10000,15000,Vados,Vados,God,God,Champa Saga,Champa Saga,"From July 28, 2017","**[Permanent]**  This card can attack Battle Cards in Active Mode.
**[Awaken]**  When your life is at 4 or less : You may draw 2 cards and flip this card over.","**[Permanent]**  This card can attack Battle Cards in Active Mode.
**[Auto]**  When this card attacks, draw 1 card. If this card attacks a Battle Card, it gains +5000 power for the duration of the turn."
BT1-003,LEADER,Hit,Assassin Hit,Red,Series 1 Boosterï½GALACTIC BATTLEï½ ,Uncommon[UC],10000,15000,Hit,Hit,Alien,Alien,Champa Saga,Champa Saga,"From July 28, 2017","**[Auto]**  When this card attacks, it gains +5000 power for the duration of the turn.
**[Awaken]**  When your life is at 4 or less : You may draw 2 cards and flip this card over.","**[Auto]**  When this card attacks, draw 1 card, and this card gains +5000 power for the duration of this turn.
**[Auto]**  **[Once per turn]**  When your opponent activates **[Blocker]** , you may place 1 red card from your hand into the Drop Area. If you do so, negate that **[Blocker]** ."
BT1-028,LEADER,Vegeta,Super Saiyan Blue Vegeta,Blue,Series 1 Boosterï½GALACTIC BATTLEï½ ,Rare[R],10000,15000,Vegeta,Vegeta,Saiyan,Saiyan,Resurrection âFâ Saga,Resurrection âFâ Saga,"From July 28, 2017","**[Activate Main]**  **[Once per turn]**  Choose 1 card from your life and add it to your hand : This card gains **[Critical]**  for the duration of the turn.
**[Awaken]**  When your life is at 4 or less : You may draw 2 cards and flip this card over.","**[Activate Main]**  **[Once per turn]**  Choose 1 card from your life and add it to your hand : This card gains **[Critical]**  for the duration of the turn. If you have 7 or more blue energy, this card also gains +10000 power for the duration of the turn.
**[Auto]**  When this card attacks, draw 1 card."
